,Drink ID,Name,Category,Alcoholic,Glass,Ingredients,Measure
166,16178,Jitterbug,Cocktail,True,cocktail glass,"['Gin', 'Vodka', 'Grenadine', 'Lime juice', 'Sugar', 'Sugar syrup', 'Soda water']","['2 jiggers ', '1 jigger ', '3 dashes ', '1 shot ', 'Around rim put 1 pinch ', '3 dashes ', 'Fill to top with ']"
167,17178,Jam Donut,Shot,True,shot glass,"['Baileys irish cream', 'Chambord raspberry liqueur', 'Sugar syrup', 'Sugar']","['2/3 oz', '1/3 oz', '1 tsp', '2 pinches']"
168,13775,Jelly Bean,Shot,True,cordial glass,"['Blackberry brandy', 'Anis']","['1 oz ', '1 oz ']"
169,13847,Jackhammer,Ordinary Drink,True,collins glass,"['Jack Daniels', 'Amaretto']","['1 oz ', '1 oz ']"
170,14956,Jello shots,Shot,True,shot glass,"['Vodka', 'Jello', 'Water']","['2 cups ', '3 packages ', '3 cups ']"
171,11580,John Collins,Ordinary Drink,True,collins glass,"['Bourbon', 'Lemon juice', 'Sugar', 'Club soda', 'Maraschino cherry', 'Orange']","['2 oz ', '1 oz ', '1 tsp superfine ', '3 oz ', '1 ', '1 ']"
172,14095,Jamaica Kiss,Milk / Float / Shake,True,hurricane glass,"['Coffee liqueur', 'Light rum', 'Ice', 'Milk']","['1 shot ', '1 shot Jamaican ', 'cubes', None]"
173,11558,Japanese Fizz,Ordinary Drink,True,highball glass,"['Blended whiskey', 'Lemon', 'Powdered sugar', 'Port', 'Egg white', 'Carbonated water']","['1 1/2 oz ', 'Juice of 1/2 ', '1 tsp ', '1 tblsp', '1 ', None]"
174,12688,Just a Moonmint,Milk / Float / Shake,False,highball glass,"['Milk', 'Chocolate syrup', 'Mint syrup']","['2 cups ', None, None]"
175,15825,Jamaican Coffee,Coffee / Tea,True,champagne flute,"['Rum', 'Coffee', 'Water', 'Whipped cream']","['1/6 glass ', '1/6 glass strong black ', '1/2 glass cold ', None]"
176,11566,Jewel Of The Nile,Ordinary Drink,True,cocktail glass,"['Gin', 'Green Chartreuse', 'Yellow Chartreuse']","['1 1/2 oz ', '1/2 oz ', '1/2 oz ']"
177,11542,Jack Rose Cocktail,Ordinary Drink,True,cocktail glass,"['Apple brandy', 'Grenadine', 'Lime']","['1 1/2 oz ', '1 tsp ', 'Juice of 1/2 ']"
178,17203,Kir,Ordinary Drink,True,wine glass,"['Creme de Cassis', 'Champagne']","['1 part ', '5 parts ']"
179,12764,Karsk,Ordinary Drink,True,highball glass,"['Coffee', 'Grain alcohol']","['1 part ', '2 parts ']"
180,11600,Kamikaze,Ordinary Drink,True,cocktail glass,"['Vodka', 'Triple sec', 'Lime juice']","['1 oz ', '1 oz ', '1 oz ']"
181,13837,Kir Royale,Ordinary Drink,True,champagne flute,"['Creme de Cassis', 'Champagne']","['1 part ', '5 parts ']"
182,14456,Kurant Tea,Coffee / Tea,True,champagne flute,"['Absolut Kurant', 'Tea', 'Sugar']","['4 cl ', 'Turkish apple ', ' (if needed)\n']"
183,14752,Kiwi Lemon,Ordinary Drink,True,highball glass,"['Kiwi liqueur', 'Bitter lemon', 'Ice']","['1 part ', '2 parts ', 'cubes']"
184,16951,Kioki Coffee,Coffee / Tea,True,coffee mug,"['Kahlua', 'Brandy', 'Coffee']","['1 oz ', '1/2 oz ', None]"
185,13190,Kool-Aid Shot,Shot,True,old-fashioned glass,"['Vodka', 'Amaretto', 'Sloe gin', 'Triple sec', 'Cranberry juice']","['1 shot ', '1 shot ', '1 shot ', '1 shot ', None]"
186,15026,Kiss me Quick,Ordinary Drink,True,highball glass,"['Cranberry vodka', 'Apfelkorn', 'Schweppes Russchian', 'Apple juice', 'Ice']","['4 cl ', '2 cl ', '7 cl ', '8 cl ', 'cubes']"
